listing,year,reference,title,document_type,download_id,download_url
Chronological legal notices by year,2026,LN. 83/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123874,https://laws.gov.tt/ttdll-web/revision/download/123874?type=amendment
Chronological legal notices by year,2026,LN. 82/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123872,https://laws.gov.tt/ttdll-web/revision/download/123872?type=amendment
Chronological legal notices by year,2026,LN. 81/2026,PROCLAMATION - Representation of the People Act,amendment,123870,https://laws.gov.tt/ttdll-web/revision/download/123870?type=amendment
Chronological legal notices by year,2026,LN. 80/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123868,https://laws.gov.tt/ttdll-web/revision/download/123868?type=amendment
Chronological legal notices by year,2026,LN. 79/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123866,https://laws.gov.tt/ttdll-web/revision/download/123866?type=amendment
Chronological legal notices by year,2026,LN. 78/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123864,https://laws.gov.tt/ttdll-web/revision/download/123864?type=amendment
Chronological legal notices by year,2026,LN. 77/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123862,https://laws.gov.tt/ttdll-web/revision/download/123862?type=amendment
Chronological legal notices by year,2026,LN. 76/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123860,https://laws.gov.tt/ttdll-web/revision/download/123860?type=amendment
Chronological legal notices by year,2026,LN. 75/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123858,https://laws.gov.tt/ttdll-web/revision/download/123858?type=amendment
Chronological legal notices by year,2026,LN. 74/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123856,https://laws.gov.tt/ttdll-web/revision/download/123856?type=amendment
Chronological legal notices by year,2026,LN. 73/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123854,https://laws.gov.tt/ttdll-web/revision/download/123854?type=amendment
Chronological legal notices by year,2026,LN. 72/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123852,https://laws.gov.tt/ttdll-web/revision/download/123852?type=amendment
Chronological legal notices by year,2026,LN. 71/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123850,https://laws.gov.tt/ttdll-web/revision/download/123850?type=amendment
Chronological legal notices by year,2026,LN. 70/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123848,https://laws.gov.tt/ttdll-web/revision/download/123848?type=amendment
Chronological legal notices by year,2026,LN. 69/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123846,https://laws.gov.tt/ttdll-web/revision/download/123846?type=amendment
Chronological legal notices by year,2026,LN. 68/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123844,https://laws.gov.tt/ttdll-web/revision/download/123844?type=amendment
Chronological legal notices by year,2026,LN. 67/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123842,https://laws.gov.tt/ttdll-web/revision/download/123842?type=amendment
Chronological legal notices by year,2026,LN. 66/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123840,https://laws.gov.tt/ttdll-web/revision/download/123840?type=amendment
Chronological legal notices by year,2026,LN. 65/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123838,https://laws.gov.tt/ttdll-web/revision/download/123838?type=amendment
Chronological legal notices by year,2026,LN. 64/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123836,https://laws.gov.tt/ttdll-web/revision/download/123836?type=amendment
Chronological legal notices by year,2026,LN. 63/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123834,https://laws.gov.tt/ttdll-web/revision/download/123834?type=amendment
Chronological legal notices by year,2026,LN. 62/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123832,https://laws.gov.tt/ttdll-web/revision/download/123832?type=amendment
Chronological legal notices by year,2026,LN. 61/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123830,https://laws.gov.tt/ttdll-web/revision/download/123830?type=amendment
Chronological legal notices by year,2026,LN. 60/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123828,https://laws.gov.tt/ttdll-web/revision/download/123828?type=amendment
Chronological legal notices by year,2026,LN. 59/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123826,https://laws.gov.tt/ttdll-web/revision/download/123826?type=amendment
Chronological legal notices by year,2026,LN. 58/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123824,https://laws.gov.tt/ttdll-web/revision/download/123824?type=amendment
Chronological legal notices by year,2026,LN. 57/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123822,https://laws.gov.tt/ttdll-web/revision/download/123822?type=amendment
Chronological legal notices by year,2026,LN. 56/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123820,https://laws.gov.tt/ttdll-web/revision/download/123820?type=amendment
Chronological legal notices by year,2026,LN. 55/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123818,https://laws.gov.tt/ttdll-web/revision/download/123818?type=amendment
Chronological legal notices by year,2026,LN. 54/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123816,https://laws.gov.tt/ttdll-web/revision/download/123816?type=amendment
Chronological legal notices by year,2026,LN. 53/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123814,https://laws.gov.tt/ttdll-web/revision/download/123814?type=amendment
Chronological legal notices by year,2026,LN. 52/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123812,https://laws.gov.tt/ttdll-web/revision/download/123812?type=amendment
Chronological legal notices by year,2026,LN. 51/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123810,https://laws.gov.tt/ttdll-web/revision/download/123810?type=amendment
Chronological legal notices by year,2026,LN. 50/2026,RESOLUTION - Constitution of the Republic of Trinidad and Tobago,amendment,123806,https://laws.gov.tt/ttdll-web/revision/download/123806?type=amendment
Chronological legal notices by year,2026,LN. 49/2026,RESOLUTION - Constitution of the Republic of Trinidad and Tobago,amendment,123800,https://laws.gov.tt/ttdll-web/revision/download/123800?type=amendment
Chronological legal notices by year,2026,LN. 48/2026,Motor Vehicles and Road Traffic (Amendment) Regulations,amendment,123798,https://laws.gov.tt/ttdll-web/revision/download/123798?type=amendment
Chronological legal notices by year,2026,LN. 47/2026,Mutual Assistance in Criminal Matters (Declaration of Treaty) Order,amendment,123794,https://laws.gov.tt/ttdll-web/revision/download/123794?type=amendment
Chronological legal notices by year,2026,LN. 46/2026,Detention of Persons (Discipline and Place of Detention) Directions,amendment,123792,https://laws.gov.tt/ttdll-web/revision/download/123792?type=amendment
Chronological legal notices by year,2026,LN. 45/2026,Land (Amendment) Regulations,amendment,123788,https://laws.gov.tt/ttdll-web/revision/download/123788?type=amendment
Chronological legal notices by year,2026,LN. 44/2026,Legal Profession (Eligibility for Admission) (No. 2) Order,amendment,123784,https://laws.gov.tt/ttdll-web/revision/download/123784?type=amendment
Chronological legal notices by year,2026,LN. 43/2026,Land Acquisition (Declaration of Acquisition) (No. 2) Order,amendment,123758,https://laws.gov.tt/ttdll-web/revision/download/123758?type=amendment
Chronological legal notices by year,2026,LN. 42/2026,Land Acquisition (Declaration of Acquisition) Order,amendment,123756,https://laws.gov.tt/ttdll-web/revision/download/123756?type=amendment
Chronological legal notices by year,2026,LN. 41/2026,Immigration (Exemption From Work Permit) (Immigrants) (Amendment) Order,amendment,123754,https://laws.gov.tt/ttdll-web/revision/download/123754?type=amendment
Chronological legal notices by year,2026,LN. 40/2026,Emergency Powers Regulations,amendment,123750,https://laws.gov.tt/ttdll-web/revision/download/123750?type=amendment
Chronological legal notices by year,2026,LN. 39/2026,PROCLAMATION - Constitution of the Republic of Trinidad and Tobago,amendment,123745,https://laws.gov.tt/ttdll-web/revision/download/123745?type=amendment
Chronological legal notices by year,2026,LN. 38/2026,PROCLAMATION - Motor Vehicles and Road Traffic (Amendment) Act,amendment,123739,https://laws.gov.tt/ttdll-web/revision/download/123739?type=amendment
Chronological legal notices by year,2026,LN. 37/2026,Closure of the Cap-de-Ville Public Cemetery Order,amendment,123737,https://laws.gov.tt/ttdll-web/revision/download/123737?type=amendment
Chronological legal notices by year,2026,LN. 36/2026,PROCLAMATION - Administration of Justice (Indictable Proceedings) (Amendment) Act,amendment,123730,https://laws.gov.tt/ttdll-web/revision/download/123730?type=amendment
Chronological legal notices by year,2026,LN. 35/2026,CORRIGENDUM - (In respect of Legal Notice No. 235 of 2025) - Food and Drugs Act,amendment,123728,https://laws.gov.tt/ttdll-web/revision/download/123728?type=amendment
Chronological legal notices by year,2026,LN. 34/2026,CORRIGENDUM - (In respect of Legal Notice No. 63 of 2023) - Food and Drugs Act,amendment,123726,https://laws.gov.tt/ttdll-web/revision/download/123726?type=amendment
Chronological legal notices by year,2026,LN. 33/2026,RESOLUTION - Land Acquisition Act,amendment,123712,https://laws.gov.tt/ttdll-web/revision/download/123712?type=amendment
Chronological legal notices by year,2026,LN. 32/2026,Traffic Restriction (Temporary Provisions) (Royal Gaol) Order,amendment,123710,https://laws.gov.tt/ttdll-web/revision/download/123710?type=amendment
Chronological legal notices by year,2026,LN. 31/2026,Traffic Restriction (Temporary Provisions) (Carnival) Order,amendment,123708,https://laws.gov.tt/ttdll-web/revision/download/123708?type=amendment
Chronological legal notices by year,2026,LN. 30/2026,Traffic Restriction (Temporary Provisions) (San Fernando Children’s Carnival Parade of Bands) Order,amendment,123698,https://laws.gov.tt/ttdll-web/revision/download/123698?type=amendment
Chronological legal notices by year,2026,LN. 29/2026,Traffic Restriction (Temporary Provisions) (Siparia Children’s Carnival Parade of Bands) Order,amendment,123694,https://laws.gov.tt/ttdll-web/revision/download/123694?type=amendment
Chronological legal notices by year,2026,LN. 28/2026,Traffic Restriction (Temporary Provisions) (St. James Children’s Carnival Parade of Bands) Order,amendment,123688,https://laws.gov.tt/ttdll-web/revision/download/123688?type=amendment
Chronological legal notices by year,2026,LN. 27/2026,Traffic Restriction (Temporary Provisions) (Marabella Children’s Carnival Parade of Bands) Order,amendment,123686,https://laws.gov.tt/ttdll-web/revision/download/123686?type=amendment
Chronological legal notices by year,2026,LN. 26/2026,RESOLUTION - Land Acquisition Act,amendment,123684,https://laws.gov.tt/ttdll-web/revision/download/123684?type=amendment
Chronological legal notices by year,2026,LN. 25/2026,NOTIFICATION - Public Holidays and Festivals Act,amendment,123560,https://laws.gov.tt/ttdll-web/revision/download/123560?type=amendment
Chronological legal notices by year,2026,LN. 24/2026,Land Acquisition (Requisition) Order,amendment,123550,https://laws.gov.tt/ttdll-web/revision/download/123550?type=amendment
Chronological legal notices by year,2026,LN. 23/2026,Special Event (No. 2) Order,amendment,123548,https://laws.gov.tt/ttdll-web/revision/download/123548?type=amendment
Chronological legal notices by year,2026,LN. 22/2026,Traffic Restriction (Temporary Provisions) (Port-of-Spain Children’s Carnival Parade of Bands) Order,amendment,123542,https://laws.gov.tt/ttdll-web/revision/download/123542?type=amendment
Chronological legal notices by year,2026,LN. 21/2026,Traffic Restriction (Temporary Provisions) (Steelband Panorama) Order,amendment,123540,https://laws.gov.tt/ttdll-web/revision/download/123540?type=amendment
Chronological legal notices by year,2026,LN. 20/2026,Carnival (Prohibition of Glass Bottles) Regulations,amendment,123530,https://laws.gov.tt/ttdll-web/revision/download/123530?type=amendment
Chronological legal notices by year,2026,LN. 19/2026,Carnival Regulations,amendment,123524,https://laws.gov.tt/ttdll-web/revision/download/123524?type=amendment
Chronological legal notices by year,2026,LN. 18/2026,Public Festivals (Carnival) Order,amendment,123522,https://laws.gov.tt/ttdll-web/revision/download/123522?type=amendment
Chronological legal notices by year,2026,LN. 17/2026,Special Event Order,amendment,123520,https://laws.gov.tt/ttdll-web/revision/download/123520?type=amendment
Chronological legal notices by year,2026,LN. 16/2026,PROCLAMATION - Home Invasion (Self-Defence and Defence of Property) Act,amendment,123518,https://laws.gov.tt/ttdll-web/revision/download/123518?type=amendment
Chronological legal notices by year,2026,LN. 15/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123516,https://laws.gov.tt/ttdll-web/revision/download/123516?type=amendment
Chronological legal notices by year,2026,LN. 14/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123514,https://laws.gov.tt/ttdll-web/revision/download/123514?type=amendment
Chronological legal notices by year,2026,LN. 13/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123512,https://laws.gov.tt/ttdll-web/revision/download/123512?type=amendment
Chronological legal notices by year,2026,LN. 12/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123510,https://laws.gov.tt/ttdll-web/revision/download/123510?type=amendment
Chronological legal notices by year,2026,LN. 11/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123508,https://laws.gov.tt/ttdll-web/revision/download/123508?type=amendment
Chronological legal notices by year,2026,LN. 10/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123506,https://laws.gov.tt/ttdll-web/revision/download/123506?type=amendment
Chronological legal notices by year,2026,LN. 9/2026,External Loans (Tax and Exchange Control Exemption) Order,amendment,123502,https://laws.gov.tt/ttdll-web/revision/download/123502?type=amendment
Chronological legal notices by year,2026,LN. 8/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123500,https://laws.gov.tt/ttdll-web/revision/download/123500?type=amendment
Chronological legal notices by year,2026,LN. 7/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123498,https://laws.gov.tt/ttdll-web/revision/download/123498?type=amendment
